PREVIOUS,CURRENT
Comment se,nourriton
se nourriton,par temps
nourriton par temps,de confinement
par temps de confinement,?
de confinement,C’était
C’était,la question
C’était la question,au centre
la question au centre,du
au centre du,«
du,direct
direct,»
du Monde,consacré
Monde consacré,mardi
consacré mardi,31
mardi 31,mars
31 mars,à l’alimentation
mars à l’alimentation,confinée
à l’alimentation confinée,Vous
confinée Vous,avez
Vous avez,été
avez été,nombreux
été nombreux,à témoigner
Certains pour expliquer,que
pour expliquer que,le
que le,confinement
le confinement,vous
confinement vous,avait
vous avait,coupé
avait coupé,l’appétit
coupé l’appétit,D’autres
l’appétit D’autres,au contraire
pour nous raconter,que
raconter que,vous
que vous,vous
vous vous,étiez
vous étiez,découvert
étiez découvert,une
découvert une,passion
une passion,pour la cuisine
passion pour la cuisine,–
pour la cuisine,et la trouille
d’y gagner,en rondeurs
gagner en rondeurs,On
en rondeurs On,s’est
On s’est,étonnés
s’est étonnés,de vous
étonnés de vous,voir
de vous voir,si
voir si,nombreux
si nombreux,à vous
nombreux à vous,être
à vous être,lancés
être lancés,dans la confection
de votre propre,pain
propre pain,Et
pain Et,on
Et on,a
on a,salivé
a salivé,devant les
salivé devant les,photos
devant les photos,de vos
photos de vos,plats
de vos plats,ou
plats ou,pas
Carte postale,de nos
postale de nos,vies
de nos vies,confinées
Vos témoignages,Je
témoignages Je,mange
Je mange,parce
mange parce,qu’il
parce qu’il,faut
qu’il faut,manger
Personnellement ça,me
ça me,coupe
me coupe,un
coupe un,peu
un peu,l’appétit
peu l’appétit,tout
l’appétit tout,ça
tout ça,Je
ça Je,mange
Je mange,parce
mange parce,qu’il
parce qu’il,faut
qu’il faut,manger
faut manger,mais
manger mais,peu
mais peu,de choses
peu de choses,me
de choses me,font
me font,envie
Je fais,même
fais même,une
même une,entorse
une entorse,à mon
entorse à mon,végétarisme
à mon végétarisme,sans culpabiliser
végétarisme sans culpabiliser,parce
sans culpabiliser parce,que
parce que,c’est
que c’est,plus
c’est plus,simple
plus simple,actuellement
Je me,mets
me mets,à cuisiner
mets à cuisiner,pour la première
à cuisiner pour la première,fois
pour la première fois,de ma
fois de ma,vie
De mon,côté
mon côté,je
côté je,me
je me,mets
me mets,à 48
mets à 48,ans
à 48 ans,à cuisiner
ans à cuisiner,pour la première
à cuisiner pour la première,fois
pour la première fois,de ma
fois de ma,vie
de ma vie,Je
vie Je,n’ai
Je n’ai,jamais
n’ai jamais,aimé
jamais aimé,ça
et je ne,suis
ne suis,pas
suis pas,douée
pas douée,Je
douée Je,rêvasse
Je rêvasse,et je
rêvasse et je,finis
et je finis,toujours
finis toujours,par oublier
